No,英語,日本語,単元
1,change,変える,Unit１
2,learn,学ぶ,Unit１
3,help,手伝う/助ける,Unit１
4,need,必要とする,Unit１
5,live,住んでいる,Unit１
6,ask,頼む,Unit１
7,enjoy,楽しむ,Unit１
8,wait,待つ,Unit１
9,cook,調理する,Unit１
10,talk,話す (t-),Unit１
11,speak,話す (s-),Unit１
12,meet,会う,Unit１
13,mean,意味する,Unit１
14,buy,買う,Unit１
15,travel,旅行する,Unit１
16,build,建てる,Unit１
17,close,閉じる,Unit１
18,stay,滞在する,Unit１
19,move,動かす,Unit１
20,plan,計画する,Unit１
21,write,書く,Unit１
22,listen,聞く (l-),Unit１
23,happen,起こる/生じる,Unit１
24,lose,失う/なくす,Unit１
25,stand,立つ/立っている,Unit１
26,grow,育つ,Unit１
27,sound,〜のように聞こえる,Unit１
28,rain,雨が降る,Unit１
29,worry,心配する,Unit１
30,teach,教える,Unit１
31,hope,望む,Unit１
32,hold,持つ/抱える,Unit１
33,life,一生/生涯,Unit１
34,thing,事,Unit１
35,country,国,Unit１
36,example,例,Unit１
37,place,場所,Unit１
38,part,部分,Unit１
39,trip,旅行,Unit１
40,problem,問題,Unit１
41,question,質問,Unit１
42,color,色,Unit１
43,point,要点,Unit１
44,language,言語,Unit１
45,word,単語/語,Unit１
46,health,健康,Unit１
47,report,報告書,Unit１
48,minute,分,Unit１
49,reason,理由,Unit１
50,line,路線,Unit１
51,month,（暦の）月,Unit１
52,week,週,Unit１
53,date,日にち,Unit１
54,event,行事,Unit１
55,future,未来/将来,Unit１
56,design,デザイン,Unit１
57,end,終わり,Unit１
58,computer,コンピューター,Unit１
59,plant,植物,Unit１
60,art,美術,Unit１
61,chance,機会/好機,Unit１
62,history,歴史,Unit１
63,festival,祭り,Unit１
64,season,季節,Unit１
65,fun,楽しみ,Unit１
66,host,主人,Unit１
67,message,伝言,Unit１
68,step,段階,Unit１
69,popular,人気のある,Unit１
70,most,大部分の,Unit１
71,different,違う,Unit１
72,such,そのような,Unit１
73,last,この前の,Unit１
74,same,同じ,Unit１
75,great,すばらしい (g-),Unit１
76,open,開いている,Unit１
77,own,自分自身の,Unit１
78,kind,親切な,Unit１
79,difficult,難しい,Unit１
80,enough,十分な,Unit１
81,special,特別な,Unit１
82,famous,有名な,Unit１
83,bad,悪い,Unit１
84,short,短い,Unit１
85,useful,役に立つ,Unit１
86,afraid,恐れて,Unit１
87,favorite,お気に入りの,Unit１
88,expensive,高価な,Unit１
89,carry,運ぶ,Unit１
90,break,壊れる/割れる,Unit１
91,arrive,到着する,Unit１
92,fall,落ちる,Unit１
93,miss,がいなくてさみしく思う,Unit１
94,cover,覆う,Unit１
95,catch,捕まえる,Unit１
96,save,救う,Unit１
97,check,点検する,Unit１
98,introduce,紹介する,Unit１
99,join,加わる,Unit１
100,clean,きれいにする,Unit１
101,answer,答える,Unit２
102,throw,投げる,Unit２
103,invite,招待する,Unit２
104,pick,摘み取る,Unit２
105,die,死ぬ,Unit２
106,return,戻る,Unit２
107,fly,飛ぶ,Unit２
108,cut,切る,Unit２
109,hit,襲う/打つ,Unit２
110,excuse,許す,Unit２
111,wash,洗う,Unit２
