No.,英語,日本語
1,comfortable,快適な
2,responsibilities,責任
3,range,範囲
4,avoid,避ける
5,reserve,予約する / 〜を予約する
6,necessarily,必然的に
7,particularly,特に
8,suddenly,突然
9,regularly,定期的に
10,essay,作文
11,effort,努力
12,exhibition,展示/公開
13,matter,物質/問題 / 問題である/重要である
14,conclusion,結果 / 結論
15,develop,発達する
16,discuss,〜について話し合う
17,depend,〜次第である
18,spite,悪意/恨み
19,coal,石炭
20,wood,木材
21,fix,固定する / 取り付ける
22,asleep,眠って
23,fill,満たす
24,fell,fall(落ちる)の過去系
25,way,方法/道
26,amusing,面白い/楽しい
27,whole,全体の
28,sir,目上の人の呼び方
29,less,〜より小さい(少ない)
30,population,人口
31,trouble,トラブル
32,enough,十分な
33,neither,否定
34,either,どちらか一方 / どちらか
35,fee,手数料 / 料金/報酬
36,spare,予備の/余分の
37,fare,運賃 / 料金
38,result,結果
39,attend,出席する / 〜に出席する/〜に通う
40,connect,(2つ以上)〜をつなぐ / 〜をつなぐ
41,jet,ジェット機
42,lag,遅れをとる
43,disappear,見えなくなる
44,suffer,苦しむ / 苦しむ/受ける
45,escape,〜を逃れる / 逃亡
46,hurt,〜を傷付ける
47,destination,目的地
48,danger,危険
49,polite,礼儀正しい
50,generous,寛大な
51,daughter,娘
52,suggest,〜を提案する / 提案する
53,explain,〜を説明する
54,definite,明確な
55,remote,遠く離れた
56,visible,明らかな
57,cause,原因
58,none,否定
59,sense,判断力/感覚 / 分別
60,lack,不足
61,fault,責任/欠陥
62,graduate,卒業する
63,weight,重さ
64,sure,〜を確信している
65,few,少数の
66,trust,信頼
67,climate,気候
68,throughout,〜を通してずっと/〜の至る所に
69,general,総合的な/一般的な
70,someone,誰か
71,elementary,初級の/基礎的な
72,however,しかしながら
73,grade,階級
74,spell,(語)をつづる
75,strength,力/強さ
76,relative,比較上の
77,harmful,有害な
78,melt,溶ける
79,sail,〜をあやつる
80,grab,つかもうとする
81,upstairs,階上
82,seldom,めったに...ない
83,remember,記憶している
84,quality,質
85,policy,政策/方針
86,deliver,〜を配達する
87,ignore,〜を無視する / 無視する
88,treasure,財宝
89,influence,影響
90,waste,浪費する
91,medicine,薬
92,supply,供給量 / 供給
93,traffic,交通
94,knowledge,知識
95,notice,通告 / 〜に気が付く/気づく
96,scenery,景色
97,ahead,前方に
98,cheaper,安い
99,expensive,高価な
100,refrigerator,冷蔵庫
101,apartment,アパート
102,while,〜している間に
103,recipes,レシピの複数
104,smell,...のにおいがする
105,bite,〜を噛む
106,realize,...だと気づく
107,clown,ピエロ
108,patient,患者
109,recent,最近の
110,survey,調査
111,aged,...歳の
112,scary,恐ろしい
113,probably,たぶん
114,scare,〜を怖がらせる
115,bagel,ベーグル
