No.,英単語,日本語訳,
1,universal,普遍的な,stage1
2,climate,気候,stage1
3,incredible,信じられない,stage1
4,wear,～を身につけている,stage1
5,describe,～がどのようなものか説明する,stage1
6,"concentrate,on",～に集中する,stage1
7,brief,短い,stage1
8,fold,～を折りたたむ,stage1
9,deliver,～を届ける,stage1
10,remark,発言,stage1
11,consider,～を考慮する,stage1
12,exactly,正確に,stage1
13,"last,（動詞）",続く,stage1
14,attitude,態度,stage1
15,"enable,O,to,V",OがVするのを可能にする,stage1
16,suppose,～と思う,stage1
17,rarely,めったに～ない,stage1
18,"fire,（動詞）",～をクビにする,stage1
19,wealty,裕福な,stage1
20,false,偽の,stage1
21,expect,～と思う,stage1
22,"exchange,A,for,B",AをBと交換する,stage1
23,warn,～に警告する,stage1
24,pleasure,喜び,stage1
25,bill,請求書,stage1
26,flat,平らな,stage1
27,flatter,～をおだてる,stage1
28,vacant,使用されていない,stage1
29,occupy,を占める,stage1
30,exist,存在する,stage1
31,"insist,on",～と言い張る,stage1
32,resist,～に抵抗する,stage1
33,"A,require,B",AにはBが必要だ,stage1
34,capable,力がある,stage1
35,"reply,to",～に返事する,stage1
36,complicated,複雑な,stage1
37,advance,前進,stage1
38,claim,～を要求する,stage1
39,common,共通の,stage1
40,bully,～をいじめる,stage1
41,"borrow,A,from,B",BからAを無償で借りる,stage1
42,owe,～を借りている,stage1
43,deny,～を否定する,stage1
44,awake,目を覚まして,stage1
45,increase,増加する,stage1
46,gradually,徐々に,stage1
47,solve,～を解決する,stage1
48,origin,起源,stage1
49,organization,組織,stage1
50,"force,O,to,V",OにVすることを強制する,stage1
51,plain,明白な、飾り気のない,stage1
52,"explain,A,to,B",BにAを説明する,stage1
53,amaze,～を驚かせる,stage1
54,mention,～について言及する,stage1
55,guess,～を推測する,stage1
56,prove,～を証明する,stage1
57,improve,～を良くする、良くなる,stage1
58,settle,"（紛争、対立）を解決する,定住する",stage1
59,rob,～を奪う,stage1
60,"deprive,A,of,B",AからBをはく奪する,stage1
61,argue,"言い争う,(+,that,SV)～と主張する",stage1
62,room,余地,stage1
63,shortage,不足,stage1
64,expand,膨張する,stage1
65,seek,～を探し求める,stage1
66,forgive,～を容赦する,stage1
67,physical,物理的な、肉体の,stage1
68,"allow,O,to,V",OがVするのを許す,stage1
69,recognize,～を認識する,stage1
70,ancient,古代の,stage1
71,accept,～を受け入れる,stage1
72,injure,～を傷つける、～を痛める,stage1
73,purchase,～を購入する、購入,stage1
74,"remind,A,of,B",AにBを思い出される,stage1
75,efficient,無駄がない,stage1
76,account,（出来事や過程の）説明,stage1
77,invent,～を発明する,stage1
78,prevent,～を予防する,stage1
79,resign,辞職する,stage1
80,predict,～を予測する,stage1
81,indicate,～を示している,stage1
82,raise,～を上げる,stage1
83,temper,気分,stage1
84,amount,量,stage1
85,means,手段,stage1
86,"compare,A,with,B",AとBを比べる,stage1
87,present,"出席している,存在している",stage1
88,export,～を輸出する,stage1
89,opportunity,好機,stage1
90,transportation,輸送,stage1
91,impress,～に強い印象を与える,stage1
92,express,（意見、感情）を表現する,stage1
93,economical,"経済的な,安上がりな",stage1
94,community,社会、共同体,stage1
95,society,社会,stage1
96,devide,～を分割する,stage1
97,individual,個人、個体,stage1
98,properly,きちんと,stage1
99,appropriate,（状況に応じて）適切な,stage1
100,baggage,（旅行用の）荷物,stage1
101,creature,（植物以外の）生き物,stage1
102,possibly,ことによると,stage1
103,"associate,A,with,B",AとBを結びつける,stage1
104,"depend,on",〜に頼る,stage1
105,independent,"独立した,自立した",stage1
106,realize,"〜を実現化する,〜が分かる",stage1
107,memorize,（単語、歌、数字など）を暗記する,stage1
108,agriculture,農業,stage1
109,fare,運賃,stage1
110,custom,"（社会の）慣習,習慣",stage1
111,"be,accustomed,to",〜に慣れる,stage1
112,estimate,〜と推定する,stage1
113,role,役割,stage1
114,establish,〜を確立する,stage1
115,regret,〜を後悔している,stage1
116,flood,洪水,stage1
117,"regard,A,as,B",AをBとみなす,stage1
118,reward,"報酬,褒美",stage1
119,"in,~,respect",〜の点で,stage1
120,punish,〜を罰する,stage1
121,spread,〜を一面に広げる,stage1
122,"inform,A,of,B",AにBを伝える,stage1
123,source,源,stage1
124,offer,〜を申し出る,stage1
125,nervous,"あがっている,神経の",stage1
126,scare,〜を怖がらせる,stage1
127,"prefer,A,to,B",BよりもAを好む,stage1
128,suffer,"苦しんでいる,（嫌なこと）を経験する",stage1
129,artificial,人工の,stage1
130,superficial,表面的な,stage1
131,sufficient,十分な,stage1
132,significant,"意義のある,重要な",stage1
133,assign,（仕事や義務など）を割り当てる,stage1
134,issue,"（社会的）問題,を発行する",stage1
135,"complain,about",の文句を言う,stage1
136,criticize,"を批判する,を非難する",stage1
137,demand,を要求する,stage1
138,"blame,A,for,B",Bの責任はAにあるとする,stage1
139,"accuse,A,of,B",BでAを非難する,stage1
140,recommend,を推薦する,stage1
141,"tend,to,V",Vする傾向にある,stage1
142,pretend,のふりをする,stage1
143,attend,に出席する,stage1
144,extend,"を拡張する,を延ばす",stage1
145,convey,（考え、感情など）を伝える,stage1
146,previous,前の,stage1
147,despite,にもかかわらず,stage1
148,complete,（特に時間を要するもの）を完成する,stage1
149,accomplish,（努力や忍耐によって、目的、仕事など）を達成する,stage1
150,"provide,A,with,B",AにBを提供する,stage1
151,"supply,A,with,B",AにBを提供する,stage1
152,circumstance,事情,stage1
153,substance,（基本となる）物質,stage1
154,behave,振る舞う,stage1
155,publish,"を公にする,を出版する",stage1
156,aggressive,攻撃的な,stage1
157,"persuade,O,to,V",OにVするよう説得する,stage1
158,appear,"現れる,の入場、入学を許可する",stage1
