古文,現代語訳
あく（飽く）,満足する
あし（悪し）,悪い
あした,早朝/朝
あそぶ,詩歌/管弦などを楽しむ
あな,ああ/あら
あはれ,しみじみとした趣/感動
あまた,たくさん
あやし,不思議だ/身分が低い
あらまほし,あってほしい/理想的だ
あり,存在する
ありがたし,めったにない
あさまし,意外だ/なさけない
あたらし,惜しい/もったいない
あからさま（なり）,ちょっと
いかで,どうして
いかなる,どういう
いかに,なぜ/どのように
いざ,さあ
いづ（出づ）,出る
いづこ,どこ
いづれ,どちら
いと,とても
いとど,ますます
いにしへ,昔
いぬ,去る/死ぬ
いはく（曰く）,言うことには
いみじ,程度がはなはだしい
いらふ,答える
いたづらなり,むだだ/はかない
いとほし,気の毒だ
うし,つらい
うしろめたし,不安だ/心配だ
うす（失す）,死ぬ/なくなる
うたてし,いやだ
うつくし,かわいい
うれふ（憂ふ）,心配する
おきな,おじいさん
おこす,送ってくる/よこす
おどろく,目を覚ます
おのづから,自然に/ひとりで
おのれ,自分/お前
おはす,いらっしゃる
おぼしめす,お思いになる
おぼす,思う（尊敬）
おぼゆ,思い出される
おもしろし,趣がある
おろそかなり,おろそかだ/疎遠だ
かかる,このような
かぎりなし,この上ない/最高だ
かく,このように
かたし,難しい
かたち,姿/顔立ち
かなし,かわいい/愛しい
かち,徒歩
くちをし,残念だ/情けない
けしき,様子
げに,ほんとうに
～けり,～た（過去）
～ごとし,～ようだ
こころなし,風流な心がない
ことわり（理）,道理
さすがに,そうは言ってもやはり
さま,様子
さらなり,言うまでもない
さらば,そうならば
さりとて,そうかといって
しのぶ,がまんする
しるし,著しい/はっきりしている
す,する
すごし,恐ろしい/気味が悪い
すさまじ,興ざめだ
すべ,方法/手段
～ず,～ない
たまふ,お与えになる
ためし,例/手本
つきづきし,ふさわしい
つごもり,月の最後の日
つとめて,早朝/翌朝
つれづれ,退屈だ
～で,～ないで
ときめく,栄える/寵愛される
とし,年
としごろ,長年
～とて,～といって
～ども,～けれども
～なり,～にいる/ある/～である
ながむ,物思いにふける
なんぢ,おまえ
～にあらず,～ではない
にほひ,美しさ
にはか,急に
念ず,がまんする
のたまふ,おっしゃる
ののしる,騒ぐ
はづかし,立派だ
はなはだ,とても
侍り,ございます
ひさし（久し）,長い
ふみ,手紙
～む（ん）,～だろう/～しよう
めでたし,すばらしい
めづ,愛する/賞賛する
やうやう,だんだん
やがて,すぐに/そのまま
やむごとなし,高貴だ
ゆゑ,理由/ため
よし,事情/方法/由緒
よろづ,すべて/いろいろ
らうたし,かわいらしい
をかし,趣がある
ありく,歩き回る
