No,英語,日本語,単元
1,wolf,オオカミ
2,bark,ほえる
3,nest,巣
4,raise,を育てる
5,rear,を育てる
6,lift,を(持ち)上げる
7,breed,を育てる
8,female,雌(の)
9,birth,誕生
10,dawn,始まり
11,dig,掘る
12,hole,穴
13,gap,割れ目
14,within,の内部に
15,inside,の中に[へ;の]
16,while,する間に
17,hunt,狩る
18,instead,その代わりに
19,behind,(の)後ろに
20,guard,を守る
21,history,歴史(学)
22,tie,きずな
23,bond,きずな
24,rope,なわ
25,culture,文化
26,cultivate,を養う
27,plant,植物
28,lawn,芝生
29,bush,低木
30,bamboo,竹
31,biology,生物学
32,unique,特有の
33,peculiar,特有の
34,matter,問題
35,taste,味
36,flavor,風味
37,cause,を引き起こす
38,persuade,を説得する
39,fact,事実
40,treat,を処理する
41,pick,摘む
42,physical,身体の
43,manual,手の
44,gesture,身ぶり
45,meaning,意味
46,misunderstanding,誤解
47,signal,合図
48,embarrass,を当惑させる
49,foreign,外国の
50,alien,外国(人)の
51,exotic,異国風の
52,overseas,海外の
53,domestic,国内の
54,refugee,難民
55,count,を数える
56,counterpart,(対の)片方
57,numerous,多数の
58,calculate,を計算する
59,index,索引
60,common,普通の
61,familiar,(人に)なじみのある
62,mutual,共通の
63,puzzle,を困らせる
64,reply,答える
65,role,役割
66,roll,転がる
67,healthy,健康な
68,mammal,哺乳動物
69,produce,を生産する
70,reproduce,を再生する
71,suffer,苦しむ
72,lack,不足
73,however,しかし
74,nevertheless,それにもかかわらず
75,nonetheless,それにもかかわらず
76,whenever,...する時はいつも
77,wherever,...するところではどこでも
78,whatever,...することは何でも
79,ape,類人猿
80,primate,霊長類の動物
81,mark,印
82,target,的
83,skin,皮膚
84,tooth,歯
85,decay,腐る
86,area,部分
87,bleed,出血する
88,plenty,たくさん
89,fresh,新鮮な
90,chimpanzee,チンパンジー
91,cattle,ウシ
92,deer,シカ
93,rat,ネズミ
94,sheep,ヒツジ
95,dolphin,イルカ
96,whale,クジラ
97,shark,サメ
98,dinosaur,恐竜
99,drug,薬
100,abuse,を乱用する
101,amount,量
102,sum,合計
103,mind,精神
104,definition,定義
105,separate,を分ける
106,split,を分ける
107,extract,を抽出する
108,isolate,を孤立させる
109,interval,間隔
110,usually,たいてい
111,unusual,普通でない
112,poison,毒(物)
113,carefully,注意深く
114,control,を制御する
115,discipline,を訓練する
116,punish,を罰する
117,penalty,罰(金)
118,alcohol,アルコール
119,pub,居酒屋
120,smoke,煙
121,cigarette,(紙)巻きタバコ
122,instance,実例
123,instant,即刻の
124,depend,～次第である
125,steal,を盗む
126,rob,から奪い取る
127,deprive,から奪う
128,strip,を奪う
129,thief,泥棒
130,theft,窃盗(罪)
131,murder,殺人(事件)
132,suicide,自殺
133,aware,気づいて
134,conscious,気づいて
135,liquid,液体(の)
136,solid,固体
137,melt,溶ける
138,dirt,汚れ
139,mud,泥
140,clay,粘土
141,bacteria,細菌
142,sense,感覚
143,rough,ざらざらした
144,approximately,おおよそ
145,mild,穏やか
146,gentle,優しい
147,smooth,なめらかな
148,surface,表面
149,determine,を決定する
150,identify,を特定する
151,pale,青白い
152,state,状態
153,federal,連邦の
154,sweat,汗をかく
155,stress,ストレス
156,convenient,都合のよい
157,though,...にもかかわらず
158,discrimination,差別
159,bias,偏見
160,prejudice,偏見
161,stereotype,固定観念
162,reason,理由
163,logic,論理(学)
164,rational,理性的な
165,past,過去
166,quite,かなり
167,pretty,かなり
168,expensive,高価な
169,precious,貴重な
170,cheap,安い
171,rich,裕福な
172,abundant,豊富な
173,poor,貧しい
174,afford,余裕がある
175,wealthy,裕福な
176,servant,召使い
177,slave,奴隷
178,master,主人
179,dress,に衣服を着せる
180,regard,AをBとみなす
181,symbol,象徴
182,power,力
183,dye,染料
184,elegant,優雅な
185,polite,礼儀正しい
186,rude,粗雑な
187,ancient,古代の
188,coast,海岸
